date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:56	26272/26272	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:14%20GMT	https://www.braflix.video/tv/241257	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/241257.html	(from https://www.braflix.video/)
17:57:57	19812/19812	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:14%20GMT	https://www.braflix.video/movie/1093231?play=true	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/10932316084.html	(from https://www.braflix.video/)
17:57:57	23843/23843	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:15%20GMT	https://www.braflix.video/movie/1093231	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/1093231.html	(from https://www.braflix.video/)
17:57:57	19997/19997	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:15%20GMT	https://www.braflix.video/movie/1216221?play=true	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/12162216084.html	(from https://www.braflix.video/)
17:57:58	24217/24217	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:15%20GMT	https://www.braflix.video/movie/1216221	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/1216221.html	(from https://www.braflix.video/)
17:57:58	29735/29735	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:16%20GMT	https://www.braflix.video/tv/37854?play=true	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/378546084.html	(from https://www.braflix.video/)
17:57:59	37545/37545	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:17%20GMT	https://www.braflix.video/tv/37854	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/37854.html	(from https://www.braflix.video/)
17:57:59	20590/20590	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:17%20GMT	https://www.braflix.video/movie/786892?play=true	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/7868926084.html	(from https://www.braflix.video/)
17:57:59	24993/24993	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:17%20GMT	https://www.braflix.video/movie/786892	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/786892.html	(from https://www.braflix.video/)
17:58:00	20177/20177	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:17%20GMT	https://www.braflix.video/movie/61791?play=true	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/617916084.html	(from https://www.braflix.video/)
17:58:00	24597/24597	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:18%20GMT	https://www.braflix.video/movie/61791	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/61791.html	(from https://www.braflix.video/)
17:58:00	20839/20839	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:18%20GMT	https://www.braflix.video/tv/106379?play=true	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/1063796084.html	(from https://www.braflix.video/)
17:58:00	28397/28397	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:18%20GMT	https://www.braflix.video/tv/106379	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/106379.html	(from https://www.braflix.video/)
17:58:01	19461/19461	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:18%20GMT	https://www.braflix.video/movie/639720?play=true	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/6397206084.html	(from https://www.braflix.video/)
17:58:01	23583/23583	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:19%20GMT	https://www.braflix.video/movie/639720	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/movie/639720.html	(from https://www.braflix.video/)
17:58:01	27302/27302	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:19%20GMT	https://www.braflix.video/tv/78191	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/78191.html	(from https://www.braflix.video/)
17:58:01	28045/28045	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:19%20GMT	https://www.braflix.video/tv/66732	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/66732.html	(from https://www.braflix.video/)
17:58:01	27554/27554	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:19%20GMT	https://www.braflix.video/tv/69740	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/69740.html	(from https://www.braflix.video/)
17:58:02	27791/27791	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:20%20GMT	https://www.braflix.video/tv/67026	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/67026.html	(from https://www.braflix.video/)
17:58:02	29548/29548	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:20%20GMT	https://www.braflix.video/tv/77169	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/77169.html	(from https://www.braflix.video/)
17:58:02	29564/29564	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:20%20GMT	https://www.braflix.video/tv/4194	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/4194.html	(from https://www.braflix.video/)
17:58:03	27211/27211	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:20%20GMT	https://www.braflix.video/tv/91239	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/91239.html	(from https://www.braflix.video/)
17:58:03	29059/29059	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:21%20GMT	https://www.braflix.video/tv/61222	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/61222.html	(from https://www.braflix.video/)
17:58:03	28907/28907	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:21%20GMT	https://www.braflix.video/tv/63174	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/63174.html	(from https://www.braflix.video/)
17:58:03	27424/27424	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:21%20GMT	https://www.braflix.video/tv/3796	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/3796.html	(from https://www.braflix.video/)
17:58:04	34979/34979	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:22%20GMT	https://www.braflix.video/tv/2328	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/2328.html	(from https://www.braflix.video/)
17:58:04	27323/27323	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:22%20GMT	https://www.braflix.video/tv/87247	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/87247.html	(from https://www.braflix.video/)
17:58:05	26943/26943	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:22%20GMT	https://www.braflix.video/tv/70573	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/70573.html	(from https://www.braflix.video/)
17:58:05	26531/26531	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:22%20GMT	https://www.braflix.video/tv/241259	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/241259.html	(from https://www.braflix.video/)
17:58:05	27331/27331	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:23%20GMT	https://www.braflix.video/tv/63351	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/63351.html	(from https://www.braflix.video/)
17:58:05	29075/29075	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2022:57:23%20GMT	https://www.braflix.video/tv/1425	C:/My%20Web%20Sites/sdfwdf/www.braflix.video/tv/1425.html	(from https://www.braflix.video/)
